pan_rad,snr_mean,snr_low,snr_high
-2.7722286239902343,,,
-2.759208467770356,,,
-2.746205764842998,30.76730561462959,28.824414400767665,33.00296175352238
-2.7331856086231197,30.5191436558849,28.29113339685696,33.16200094705439
-2.7201654524032413,29.819985948259372,28.015883082293442,31.814841925647215
-2.7071627494758848,29.25154760944533,27.72272667639704,31.02406997583473
-2.694142593256007,28.762353406167563,26.94194427597944,30.1980523367491
-2.68112243703613,28.379481868189256,26.184397040874046,30.153340305635425
-2.668102280816252,28.565145198461604,25.92856618243994,30.41860168684582
-2.655099577888894,27.561401933639804,25.334578577607292,29.541008082254752
-2.642079421669016,27.621814011826274,25.05550871729319,29.88232620261013
-2.629059265449138,28.03433404389264,25.49195816677555,30.589703925228786
-2.616056562521781,29.086078471000107,26.34355517964381,31.741048679310314
-2.6030364063019027,29.660127785905,27.56910143363736,31.623877901978876
-2.590016250082026,29.75597264772907,27.768586367984707,31.45979755606167
-2.5769960938621477,30.512722560214655,28.86678891404834,32.18909301552989
-2.56399339093479,30.97651432885755,29.224255623215583,32.96624211207539
-2.550973234714912,31.75481299755506,30.196336241475944,33.674098544923375
-2.537953078495034,31.554607019675075,30.03058260112024,33.34685167811748
-2.524950375567676,31.828959025423973,30.332282808209214,33.5923918835122
-2.5119302193477986,31.77626231042702,30.462515278645082,33.345162003873874
-2.498910063127922,31.800946247144314,30.45450532499414,33.381278438522834
-2.485889906908044,31.59378398707985,30.57130675183822,32.992218813554636
-2.4728872039806857,31.06021475862134,29.989384505258386,32.319006962469224
-2.459867047760808,30.439990757839023,29.53048034424161,31.672378788108052
-2.4468468915409303,30.352684856111193,29.016325299307614,31.744592282505305
-2.433844188613572,29.943860559664255,28.752180103127447,31.468411081555256
-2.420824032393695,29.369099457340898,28.030392922181566,30.61033038450489
-2.407803876173817,28.311929945239957,27.212453778702667,29.294264711132588
-2.39478371995394,27.432610808941135,26.12935502140017,28.707532613904302
-2.3817810170265816,26.622350948992676,25.23565573736727,28.256884180887226
-2.368760860806704,25.7026749890703,24.224262572037237,27.416621321747954
-2.355740704586826,24.64699912576565,23.143871146102637,26.67718429748798
-2.3427380016594683,24.04021130477052,22.836971276441442,25.872156753437665
-2.329717845439591,23.33758121390458,22.201255020149645,25.14398894101248
-2.3166976892197133,23.5083698227627,22.662117636737083,24.529007053721234
-2.303677532999836,24.49462708011544,23.48319031758773,25.458403028258086
-2.290674830072478,25.83207789226719,24.098738664414736,27.348825126522126
-2.2776546738526,26.77758655989849,24.933944365381254,28.649947595024837
-2.264634517632722,27.040720510493397,25.33699237357058,28.790017473149266
-2.251631814705364,27.145149399010496,26.129962470873092,28.541387514617607
-2.2386116584854867,26.98274186391878,25.846299303705504,28.481038234146325
-2.225591502265609,26.446673517524317,25.047062495215158,28.276994182198823
-2.2125713460457312,26.35673784462232,25.02973849860862,27.827731639545863
-2.1995686431183734,26.126687110814476,24.690431500716073,27.481445938391868
-2.186548486898496,25.84561769081648,24.539721264381814,26.889305204402223
-2.1735283306786184,25.357680023046537,23.95733876544972,26.74478529940441
-2.1605256277512606,25.03674892259241,23.575718926317005,26.36168422113447
-2.1475054715313826,24.954196306041926,23.302734591259462,26.15876059624996
-2.134485315311505,24.272690353811345,22.68779943663279,25.315285348493514
-2.1214651590916276,23.61191558025128,22.41195140163714,24.36645982758961
-2.1084624561642693,22.49575075117743,21.371873451213997,23.6275574825717
-2.0954422999443922,21.53977287453335,20.6376132307511,22.629690001732964
-2.0824221437245143,20.832033152755642,19.63523447398505,22.3135367853061
-2.0694194407971565,20.281267547432787,19.31093303095275,21.59627907189686
-2.056399284577279,19.6748273354921,18.585988399708516,20.791003115920876
-2.043379128357401,19.394105359547975,18.41713110488342,20.22819680226537
-2.0303589721375235,18.749172275635075,17.83436580174422,19.652692777166678
-2.0173562692101656,18.68608353116893,17.73610883332276,19.764887740788378
-2.004336112990288,18.435902890750995,17.384422985958828,19.41854473480188
-1.9913159567704102,18.614353889245212,17.42279280526483,19.491977393415585
-1.9783132538430526,18.978967464054193,17.915498954669435,19.719098321820052
-1.9652930976231746,19.51751150417112,18.10203801857922,20.853617569500525
-1.9522729414032973,20.574339719648886,19.065215154495764,21.889633278971115
-1.9392527851834194,20.050654781456075,17.671813811788557,22.08028407403405
-1.9262500822560618,20.407128667836684,18.721044612017575,21.806757487825053
-1.913229926036184,19.220104692478973,17.62538219527671,20.925602878050494
-1.900209769816306,19.716561244013022,18.509377552058776,21.14522645639511
-1.8872070668889487,18.8199627060037,17.271553374758827,20.42881086200182
-1.8741869106690707,19.878479238596046,18.401132639902603,21.076590094763066
-1.8611667544491932,19.816012649002285,18.772427289032546,20.642435293703016
-1.8481465982293155,19.629861063197467,18.870638595045836,20.448242810828887
-1.8351438953019577,18.754141296758746,17.400317382945897,20.135812131595937
-1.8221237390820801,18.64601688198088,17.00587517737674,20.253863543895736
-1.8091035828622022,18.39688505267557,16.49402197785201,20.13105061720684
-1.7961008799348446,18.956043371757442,17.5131587327629,20.266061901992504
-1.7830807237149668,18.594625499589448,17.547262044045087,19.60305455092877
-1.770060567495089,19.17776221000793,18.307124172964464,20.0026651504653
-1.7570404112752116,18.966523801306977,18.19169996257847,19.72283450279917
-1.7440377083478535,19.398571982283226,18.5770566103629,20.19634877618711
-1.7310175521279763,19.5437992372195,18.544626871529164,20.508366430246443
-1.7179973959080983,19.866576998898314,17.832777775359464,21.51161762334213
-1.7049946929807402,20.149346306144718,17.91052339729453,21.824005113340643
-1.691974536760863,19.551238354540114,17.637265474825053,20.934962551669376
