tilt_rad,pan_rad,snr_norm
-0.5497787143782138,-2.748893571891069,22.223789811124195
-0.5105088062083414,-2.748893571891069,29.886927505286415
-0.47123889803846897,-2.748893571891069,29.894861236716604
-0.4319689898685966,-2.748893571891069,25.265550828936274
-0.39269908169872414,-2.748893571891069,23.427136959836677
-0.3534291735288517,-2.748893571891069,34.65486863056949
-0.3141592653589793,-2.748893571891069,34.564987988081214
-0.2748893571891069,-2.748893571891069,35.07935783600676
-0.23561944901923448,-2.748893571891069,37.678210072991995
-0.19634954084936207,-2.748893571891069,38.02671217971935
-0.15707963267948966,-2.748893571891069,37.037322948838685
-0.11780972450961724,-2.748893571891069,36.89321256531438
-0.07853981633974483,-2.748893571891069,37.2019472644423
-0.039269908169872414,-2.748893571891069,35.943908727269005
0.0,-2.748893571891069,33.85867731384472
0.039269908169872414,-2.748893571891069,29.853428370411006
0.07853981633974483,-2.748893571891069,31.86576399001816
0.11780972450961724,-2.748893571891069,31.566180306347068
0.15707963267948966,-2.748893571891069,33.93228226241807
0.19634954084936207,-2.748893571891069,34.960704856337635
0.23561944901923448,-2.748893571891069,33.27483848762912
0.2748893571891069,-2.748893571891069,33.84659320430456
0.3141592653589793,-2.748893571891069,33.7282485020002
0.3534291735288517,-2.748893571891069,32.93556085710863
0.39269908169872414,-2.748893571891069,31.510831484244292
0.4319689898685966,-2.748893571891069,33.00836033887476
0.47123889803846897,-2.748893571891069,29.55090737421997
0.5105088062083414,-2.748893571891069,29.271352816515712
-0.5497787143782138,-2.709623663721197,23.37135587629943
-0.5105088062083414,-2.709623663721197,20.86442381664498
-0.47123889803846897,-2.709623663721197,26.862503188527004
-0.4319689898685966,-2.709623663721197,23.590460292152557
-0.39269908169872414,-2.709623663721197,27.640508129724
-0.3534291735288517,-2.709623663721197,30.002912277756742
-0.3141592653589793,-2.709623663721197,32.40044712428857
-0.2748893571891069,-2.709623663721197,34.66981027431347
-0.23561944901923448,-2.709623663721197,37.61874511211021
-0.19634954084936207,-2.709623663721197,38.63165037507228
-0.15707963267948966,-2.709623663721197,35.79656130407484
-0.11780972450961724,-2.709623663721197,38.830497614411506
-0.07853981633974483,-2.709623663721197,36.1365474075723
-0.039269908169872414,-2.709623663721197,37.59998835731066
0.0,-2.709623663721197,33.17662639738627
0.039269908169872414,-2.709623663721197,34.89727716406583
0.07853981633974483,-2.709623663721197,34.989570478733356
0.11780972450961724,-2.709623663721197,30.417013413711935
0.15707963267948966,-2.709623663721197,30.255971191595446
0.19634954084936207,-2.709623663721197,29.517010905741355
0.23561944901923448,-2.709623663721197,27.843528309098136
0.2748893571891069,-2.709623663721197,29.95721759088431
0.3141592653589793,-2.709623663721197,31.202593690245475
0.3534291735288517,-2.709623663721197,33.28587022930749
0.39269908169872414,-2.709623663721197,35.74081115323278
0.4319689898685966,-2.709623663721197,31.72368153137232
0.47123889803846897,-2.709623663721197,31.740073101622404
0.5105088062083414,-2.709623663721197,32.87011874826287
-0.5497787143782138,-2.670353755551324,27.593934391666643
-0.5105088062083414,-2.670353755551324,26.636137549058247
-0.47123889803846897,-2.670353755551324,27.497940622510338
-0.4319689898685966,-2.670353755551324,28.85506106067505
-0.39269908169872414,-2.670353755551324,30.120517852184285
-0.3534291735288517,-2.670353755551324,35.30924243545519
-0.3141592653589793,-2.670353755551324,35.12559077798182
-0.2748893571891069,-2.670353755551324,36.48615896021352
-0.23561944901923448,-2.670353755551324,36.549607502853114
-0.19634954084936207,-2.670353755551324,36.818350269397264
-0.15707963267948966,-2.670353755551324,35.010168808941785
-0.11780972450961724,-2.670353755551324,39.51127380414906
-0.07853981633974483,-2.670353755551324,36.851918570959135
-0.039269908169872414,-2.670353755551324,38.20304341238457
0.0,-2.670353755551324,36.37311933933398
0.039269908169872414,-2.670353755551324,37.37649341316367
0.07853981633974483,-2.670353755551324,35.83785809147818
0.11780972450961724,-2.670353755551324,33.35946837968108
0.15707963267948966,-2.670353755551324,32.905556074904354
0.19634954084936207,-2.670353755551324,31.55879894460899
0.23561944901923448,-2.670353755551324,25.26681792188848
0.2748893571891069,-2.670353755551324,30.376145550802068
0.3141592653589793,-2.670353755551324,33.538232151406966
0.3534291735288517,-2.670353755551324,37.632940610629625
0.39269908169872414,-2.670353755551324,32.989569399840406
0.4319689898685966,-2.670353755551324,30.8471466896204
0.47123889803846897,-2.670353755551324,31.363017693508812
0.5105088062083414,-2.670353755551324,31.138906340227255
-0.5497787143782138,-2.631083847381452,24.01049724140597
-0.5105088062083414,-2.631083847381452,24.247616164162572
-0.47123889803846897,-2.631083847381452,29.03904684474223
-0.4319689898685966,-2.631083847381452,35.3289059565892
-0.39269908169872414,-2.631083847381452,36.026522688826745
-0.3534291735288517,-2.631083847381452,37.303313505369445
-0.3141592653589793,-2.631083847381452,36.67957400671905
-0.2748893571891069,-2.631083847381452,36.955757449561496
-0.23561944901923448,-2.631083847381452,38.48920604786415
-0.19634954084936207,-2.631083847381452,36.78081641193248
-0.15707963267948966,-2.631083847381452,36.620014841900655
-0.11780972450961724,-2.631083847381452,38.674476670045635
-0.07853981633974483,-2.631083847381452,36.995938750472405
-0.039269908169872414,-2.631083847381452,38.75444876517016
0.0,-2.631083847381452,37.97233798350117
0.039269908169872414,-2.631083847381452,37.92473045181228
0.07853981633974483,-2.631083847381452,35.58716024820187
0.11780972450961724,-2.631083847381452,36.72909643711083
0.15707963267948966,-2.631083847381452,34.95471292881186
0.19634954084936207,-2.631083847381452,29.66996115131281
0.23561944901923448,-2.631083847381452,31.908077122142323
