pan,re00,im00,re01,im01,re02,im02,re03,im03,re04,im04,re05,im05,re06,im06,re07,im07,re08,im08,re09,im09,re10,im10,re11,im11,re12,im12,re13,im13,re14,im14,re15,im15,re16,im16,re17,im17,re18,im18,re19,im19,re20,im20,re21,im21,re22,im22,re23,im23,re24,im24,re25,im25,re26,im26,re27,im27,re28,im28,re29,im29,re30,im30,re31,im31
-152.12600000000012,-190.27729979846612,-513.0734374222557,1095.965236779574,-219.43280014755226,438.27059444810277,365.93680826741144,-3845.2828015156197,2584.671681677435,-193.3669484114925,677.1161408840329,918.1730636793612,351.2059516682422,-50.240056153782334,-243.90559081256987,-1198.523677836241,-8757.049814000404,-165.04936887618956,241.5877772037287,-575.5357320786273,780.8717043060578,609.6795302915618,486.6533993262175,229.47400147140291,343.88013682347975,-1617.4578132506483,-1007.9227628791264,-148.7016362512486,-535.0643473875962,-311.0717192661115,224.6433072064392,556.8306173132185,856.4579660621166,539.8470618288571,733.7806935528558,-590.7507465029867,-192.3709389521528,6536.299674169631,-1313.2939330241945,-4324.047079928237,1808.3635873700987,6273.118158812562,490.7584767097832,-293.6102595706832,156.20190097563017,787.3234855476499,933.5834934082837,242.94690878902395,490.4507918974426,-304.61884562496647,-222.33978428765533,1444.1395050745632,-511.59356763655785,938.9537442890237,-944.373181256967,241.63166857135218,358.5128284097556,-77.75608140137366,531.8944068045178,-149.55540338388116,-771.969712683567,-246.82129422171758,-1045.5041191117402,-673.6358211009272,-307.73084726910065
-151.38000000000008,-316.7676974297191,-508.6559207380999,966.4907093709737,-182.0840677424646,374.1926397206953,289.8370307978507,-4419.648076738253,2521.6232123383706,-169.9412923531172,620.1389594378008,848.5142980869427,319.07230738339456,-1.2353312112102657,-188.85813925355828,34.61198081948212,-5.51635756723632,-155.7873765046763,298.659336416691,-397.61747607386417,883.7721271878218,839.5553006358077,94.87910273185318,225.80590615778942,265.77494067701656,-1443.354901059118,-452.65666978616593,-357.4712878160693,-531.5925432058573,-279.9616204493881,184.7490709267076,627.7285343165772,512.3046674198952,526.5121306222652,706.5147653499814,-518.0636981033649,-76.45916955150601,5834.39319943575,-1116.17816507218,-4405.505651166896,2512.443310317117,6065.816869122399,339.6529514925758,-257.03156106295944,142.50954838580816,1001.719928864991,866.6796628767195,287.0454790266027,568.2540081082057,-314.6772592732621,-140.05813074048538,1009.8354580580843,-779.9973202990582,616.796483513634,-1064.0443609887425,229.62974043574752,269.07992018300797,-173.19698002772105,629.1676115518144,-280.9786056145896,-661.7328785287218,-461.5615397874972,-856.7232044272639,-771.9633606340221,-82.43395296078164
-150.634,-136.90475460606433,-603.2295218398245,1206.370810634236,53.67954381266054,305.1353218009085,539.1952276963374,-6936.94003202089,2852.891082516673,-395.9516011353478,763.2644346762712,1068.4345077472199,504.77966097817534,212.7624669715162,-152.07298031214543,50.25437865554495,-1.956649444923904,-320.2043757088125,346.1680515053679,-493.2896322995436,1186.7521846359289,853.0687525639718,318.0915510522058,241.122325637035,303.22321878661313,-1941.19262816637,-664.1648333384674,-481.1664837073116,-760.3763857317106,-466.73034062322995,49.19330984108792,743.8913946361738,685.371232788842,317.77017249322614,988.8830011317702,-620.8966436106073,-142.79813966099726,8611.836696313276,0.0,-7272.878614887479,2505.10684694466,7258.673549326088,3724.8124662512228,-326.39526144798475,75.21647525477846,1232.556708447809,1432.2156938855708,252.63948652524712,828.5309178052994,-492.44754940692735,-182.7910484303793,1733.4120352409504,-1047.7668552656605,1004.5515695022428,-1104.3987969829209,317.5221445736435,246.02084934479626,-407.4165756194941,902.0356863281356,-356.9937895610065,-836.0504405915242,-521.7549372237507,-1270.2822119404736,-1229.7509477094163,-270.9534026597271
-149.8890000000001,-388.26417934214686,177.9494485901793,10.675256141564091,-154.96720850661606,-84.10467876457102,-224.13704904506508,5108.075939861604,1255.7546764971535,380.2821506993953,-13.743620787385794,-364.04959304105046,-439.62366110073486,-17.778838831378323,35.569095475551364,-19.94282696663499,-76.29610256033386,403.4358347242056,142.20298331479972,-24.79407275878748,-390.4016166542418,-585.3098485141874,55.986049703722514,164.30022400356782,-267.59196940839615,786.5929782440311,-192.2130604387743,84.03468259324319,514.1150580819303,131.10039929610866,108.57319395584976,-333.34297220845036,-77.24556426504171,244.12219855344745,-515.5200264288555,311.80625555410626,47.64099404124248,-3046.7464562795794,-1847.7735184756727,4696.187709950926,1818.628960805585,-2292.024980125533,-3173.9262961593304,265.45868860069044,121.43957388733718,-155.01353077759063,-403.43257295844967,-114.39350246802933,-422.19289218610936,24.993571375724514,11.905671237913026,-529.4492673912627,723.305882952629,-370.8488191052353,302.1917543032808,-26.016114858116822,44.35833489348773,212.6841114718447,-411.6319724645596,436.2598241706421,162.63684776851824,264.4270408247759,172.42986769110757,593.5517928671013,-111.17970043405262
-149.143,-256.13121578909306,145.63459815397962,182.19266967511044,-180.09117996476232,32.74171737842083,-23.512738322852073,2587.6254426425976,1306.0668424182475,180.32265606690288,56.62422496122815,118.09370662056244,-171.42556695450776,45.35129928764994,-79.5300045392531,-178.33365449020386,-70.89890501781171,228.37588182069854,205.89661927113198,143.82541745126255,93.29889462572999,-16.215491036881076,84.6086571207541,131.84975103890943,-157.58060598212478,201.60275058569334,76.32235670687874,-11.579363978691731,30.152720269238557,-61.39884987570633,139.51387775993135,-7.179339073831898,-12.43837292894679,315.87749894726005,-98.83966597385466,-10.934727163213097,0.5458178906870899,216.16357714378455,-1278.4303442521245,2017.2688460527459,1185.7817398999948,-51.93200684028761,-780.6594202381339,-34.53456700053863,-0.9179522844473098,125.71791058398935,-13.508766475875973,-127.99732593272421,-90.58500591645031,-92.34874889467741,16.34904643843582,-17.779690087790982,23.37590419458661,-194.93182463384576,-3.6184644962729067,29.709884808004944,-44.96814679125382,84.47115417980729,94.15618898751842,138.22152035873418,-34.81951316319066,-76.18330808105031,-324.4903372464209,-115.3400468247005,43.666728969057544
-148.39699999999996,-297.39198703192255,-312.5038104652957,626.5682529749987,273.05050279482566,220.05774711718738,365.73925389014005,-5486.74101726397,2407.341065690547,-246.26015864035776,529.6909163197597,1121.228571135789,205.0991615979267,560.7420887603765,-22.596260342290595,297.6477434001176,241.2410102533821,-184.5508254487962,521.1843061093203,280.95702125371145,774.8696568719267,586.1460032661723,-439.34170589014224,245.68475451640268,-34.86847558301372,-1573.0047826589362,954.5027622391444,-750.4094448068599,-406.23573332393664,-439.38001586673585,46.40089980703802,525.7781359656963,-189.4335377056064,84.34592084679278,835.4891675035951,-460.6883619279969,-32.51996090523817,6981.4609839845825,0.0,-5836.6725725495235,2200.7516445682513,4513.037193326674,2020.972167056199,-310.0672029496301,-126.40930832059749,1412.459334910726,1036.1268147946812,325.2919945408498,899.9407540797706,-432.96277605511887,23.238188465083773,499.14620905819027,-1871.3512591741255,113.153332814308,-806.3153194978715,238.13342765948636,-338.327787475902,-622.4988299955999,1245.9567324266245,-587.2931250428376,-208.36736658331853,-1123.234972149226,-592.1627578293212,-1369.9041077874047,179.0605106426011
-147.65099999999993,-215.93105212878828,50.269112368074474,315.89851372376535,-117.88829411776425,-62.438298371953444,55.59810612125108,2928.656735137937,3317.6346842829857,171.63046181838902,161.14453546501193,142.6880115012085,-114.41115034828411,358.00986849927654,-328.47718058016454,-289.25401453305614,-324.53756516692744,392.7882547549653,218.8599317955207,132.30981894061804,161.4875812378823,25.060976416751657,18.728190168411288,-12.018563182698529,-190.79771150679562,213.23877868718273,550.7367953400399,-43.55492549009398,172.5719792134056,-163.47432303884756,258.85891103891765,59.161099776550316,-89.73109355150842,396.1743243281659,125.95061738215281,-37.62371539193538,205.57407234729774,850.5769764880879,-2972.508814082808,3794.8508685823276,2788.1345153617326,628.8110075932359,-2435.601922539626,-101.42827778531117,-37.89029659604063,638.7882018478144,254.97116019038492,238.48776660158723,177.88945563029847,-195.79665014744904,227.22178120977878,77.65153807989259,-280.58584015950555,-273.06516862130667,-212.6411760394397,-50.50898338041836,-163.3049655526483,-130.01866030853876,399.66002716917023,-62.30834412437605,83.40197126027073,-649.0792273417017,-567.3465490741962,-49.121595045648064,-21.20941467496843
-146.90599999999998,-73.98078243759201,-98.8950003971212,420.84618610226175,10.739067815438602,-7.084824208010301,-13.330470442085527,736.7945378168056,2506.1604970989933,-127.46397534405571,261.06607223479483,522.0661466722539,-212.564836618895,397.0787471550104,-245.6730705986124,278.89760895546925,75.96731880772174,336.24609169021323,267.74313785141237,498.4298179904047,277.5690657972835,35.43441954973369,-214.41172920573825,31.178704708499865,-414.6812765915908,-412.18088520317247,683.9806698559989,-354.6044759349211,-83.89358339151744,-296.9332639401181,148.8573685279402,109.12002205155667,-208.71974522016518,153.3030910297024,422.4915968829044,-110.05987085461166,-52.6829068592969,3453.5929013898553,-1721.879580232637,-493.4231411484466,2154.913566510658,1672.6285120519196,-520.697206344639,-171.0043880508373,54.91444408747674,993.4387129709137,653.8504287387912,15.100787192828651,515.1041420893877,-232.24248844825803,104.52469060528757,143.85411153543788,-900.2463447923479,-97.12685810921823,-167.0118252223072,103.25413089488279,-287.6427790873178,-597.6179916927183,873.2817248356371,-136.75096179836228,-72.42959867521859,-923.5365388509331,-516.9322826362155,-552.5552843151984,301.1526088694209
-146.15999999999994,-6.471976379527391,88.96653467498328,170.48409789187986,-255.89608655146222,-28.014159568397773,-24.217009508225146,3818.1895498449594,1579.91679966016,71.95188574555439,103.30343550088739,-53.35238726666847,-252.25947867272433,93.40367075704546,-251.6998586536617,97.27250872904747,-164.72097591778459,329.00205135138697,15.637105817686887,192.21436764766028,-70.56437858328849,-116.48852049048581,18.30057074531959,-62.412202765190294,-30.65177702558921,354.60686672143805,-26.236518797902818,-14.35254521697982,185.4467284009522,-68.76692538094824,169.92124075015786,-135.27053073272523,-6.694240052602595,177.06837586085092,-95.63474851887406,-7.733493800370411,0.4122477937561513,-1140.3265028019773,-2354.257469331549,3208.5871491058483,1342.5526688816833,-522.171546337647,-2193.4897374770444,-68.59314487310047,11.735403793796593,168.48931614804235,51.888720406437415,105.03656754992917,112.17560716331252,-5.335863985830514,109.81927996070657,-78.3397742388849,-3.476703050803053,-163.45644005259038,52.537890307423936,-150.8783570243713,-42.28529518262337,130.54633985714355,130.6671885899749,-28.569561116427593,-135.88895343374554,-167.53257905397453,-151.919428000204,265.3691615480266,146.65407031734685
-145.41399999999987,31.22045569747678,51.34712809248077,199.8272786901983,-419.9339329513869,174.7035009446289,-73.46722623296276,4021.8914439276173,1803.5479722902155,78.66353124699208,-93.70840207602836,-20.759945448116866,-452.0335633547493,-50.431987840076886,-488.3514223562688,266.0712453491691,-7.695646328444942,427.0920321156264,-116.09509230163036,88.15240303855842,-238.67519726303325,-382.07895148245046,69.44035640761672,-73.41606184915841,53.532086310436426,437.444097124927,-617.2665222982746,118.77035985519882,367.6226463605872,126.54090233881001,273.69102261185526,-367.6894158844391,129.47340788742991,470.76010579249936,-269.4400021239765,65.67425269144562,113.09145031873003,-141.77455703618898,-2267.905943321406,3953.750634716892,1431.8763948727224,-128.0213558592527,-3012.0941293602855,-16.640891179859096,160.7264636219315,9.09526705696726,-171.3609953276184,237.80379578403614,-230.72356408120902,93.19465832097367,-18.07186892629089,-96.4288109031873,285.9452034119381,161.60570255677285,329.17935113693756,-163.02600804330672,145.09389109577262,443.2604745422395,-249.73880093457421,72.76575527362137,-54.62634693011185,-0.20240411744896392,-248.7567708259478,456.38638960152525,79.73928397352626
-144.6689999999999,33.64693623242449,45.10355926515577,461.32139224906814,-167.5624486878047,4.188993481073339,199.26273668307243,3614.760511976709,2941.999514246646,-189.31451383465472,42.80782819464176,177.53433541122894,-157.9962658050981,331.43805813483596,-394.4406632373424,-37.108198472431965,-9.602888533783176,280.6430326949821,-45.08678721910397,378.13167901715457,-115.20135419162767,-137.43617368267033,36.496676261285586,-159.84092970890742,-216.55846593478586,444.25701921575694,283.8336138032307,-58.066065214709,73.61605898882767,-47.83861941877507,76.47113740611844,-275.0481622753694,-169.313574428886,573.6801653992019,215.3354078217892,31.182963140432165,-13.178958368717744,1133.6068273921592,-2515.7582494475832,2616.2920019710355,2019.6651354581888,1418.1211302500399,-2260.357263047559,-181.8063366536789,50.7061083836966,441.87195783977944,187.13991125342056,99.3427968996177,247.82453163593095,77.38829633455802,78.81088749968879,-57.067216804105854,-372.18858618842523,13.62453760702547,30.42562960208209,-149.64031554073594,-131.18420632781158,-148.98161260099926,641.437469686952,142.47729961290318,105.6218080605145,-461.3974892057366,-15.566516605860173,39.31594410395343,88.2480414358841
-143.9229999999999,-71.43822831281321,-218.8066446718702,384.7727324923011,33.56934247208471,11.172731947493673,167.75583073819604,2685.304500395442,1600.4076519209148,-143.75310120801544,110.28813371616565,156.45005738222943,-178.56482300875103,242.35628482166317,-347.07027324537813,59.145949414483034,-193.00647103509883,272.94379156222783,-80.43757915227036,333.43674128902427,-231.02401397197482,-163.6253944573861,-61.21669822895245,-252.2870571866868,-93.75091453098108,382.5513855893606,107.51213056340407,-34.90850826149662,94.98468626041576,-102.98088760359462,189.41462411850614,-283.1771409684544,-69.59492795223383,438.36318912224147,299.70439941381994,-91.46876578894711,-94.13201594189988,1184.5464569765836,-1552.3036216072962,1370.2419795011988,1933.9162675403434,1752.2023266057874,-977.8123124691463,-153.88944377853784,-7.251402757668444,231.76474541686846,140.97302930691748,88.40802618348575,254.3718574041917,61.04881657732109,143.0820034640021,2.6354589576392584,-154.53676685331396,12.29816395229631,132.3031537376043,-154.3598866971229,-34.446832078636305,-120.95927433948452,363.4885489968167,152.0654882057052,43.64928722140468,-192.0368487715332,-59.82036180630781,-12.03117943275845,95.72589539092007
-143.17700000000005,-43.071939805701646,-150.93567770139896,383.7783970240154,-620.301230423398,207.42502501838956,-96.39889001615555,6354.669682055897,1459.063532660983,65.08656292985827,183.05282794861733,-39.65513384969148,-134.47700747555749,-190.411813048071,-473.75020857456434,-73.71188996980953,-135.1061009216266,165.26375047423662,-263.74670878698646,7.883231751119638,-75.20589255293748,-227.41406814535804,155.55946295537777,-158.01687045199816,112.48200202679911,294.3284368035478,-733.153246358988,180.63911835638757,80.43215468303936,175.94297555609737,246.3375271778242,-38.277231200195956,250.0718583020834,791.409685238307,159.22582610482152,-87.31127643717126,-70.84135517237449,-1231.8938790217221,-3287.247522735376,6094.209599831191,1581.152830573413,-680.311669852752,-3324.565868761728,-29.737376943925682,232.70067109552087,-52.217268186622164,-120.24501499227927,167.53731337074316,-109.28476411688268,105.2488744648953,61.2098552868908,166.53907389949194,226.20899063110377,67.66734790368085,-35.75449636444981,-86.12392657246667,305.6306846287608,357.85001965483553,32.940771060030556,16.283061006505704,-312.5126754379758,63.11802340360836,-138.40975044710433,302.6002122832127,-7.797798742207178
-142.43099999999998,96.95995306937117,-310.5023825405888,526.9124852881015,-674.2729536678305,290.72773745278846,-45.051153882173196,5120.989525574221,2244.4703411453866,-0.011258042730446505,167.75381342623342,-9.520083077114236,-89.28839003449004,-220.69062937006413,-747.2821968074653,-28.265678074663345,-32.9682212615264,193.44753073973683,-211.2363658030608,43.37378938180501,174.50986835404763,-155.90660331891232,246.5136602844185,-178.87151770547067,97.17468976434378,334.4513879634536,-612.5839583015854,231.47169308138814,153.2548186903749,93.54332875157053,226.67222546190752,-133.6020230797613,291.36411957843404,717.8900798549234,220.5238905884919,-81.15156895651768,-255.66813347104087,-488.2222604092249,-3111.037764141626,4826.974969351141,1542.3060676317941,1461.0582485939296,-2418.230659760481,-214.94670211092017,254.3283908829585,-4.695298366477942,-100.16528250031533,222.55045514923998,-91.09751343585594,96.04802310650147,138.89341884324003,68.77463109156935,210.32202897026787,143.6361358393293,-72.9423205749357,-185.07549041795107,357.90152012079955,441.9589651967423,148.46278819892132,169.92878520702882,-389.7397629121792,58.78216614802503,-88.47020916621602,186.90287427448658,47.18766684990785
